Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,,PrimaryContact__c,Sector__c,Tier__c
70000,,,Adatum Corporation Ltd 0,Account,6000,,,,,,,,,,,,,,,,,,,,adatum_ltd_0.com,,,Financial Services,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5067,Commercial Finance,Tier 1
70001,,,Adventure Works Cycles LLC 6,Account,6001,,,,,,,,,,,,,,,,,,,,adventure-works_llc_6.com,,,Financial Services,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5125,Commercial Finance,Tier 3
70002,,,Adventure Works Cycles Inc 6,Account,6001,,,,,,,,,,,,,,,,,,,,adventure-works_inc_6.com,,,Financial Services,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5132,Commercial Finance,Tier 3
70003,,,Alpine Ski House Ltd 2,Account,6002,,,,,,,,,,,,,,,,,,,,alpineskihouse_ltd_2.com,,,Financial Services,950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5013,Commercial Finance,Tier 1
70004,,,Alpine Ski House Ltd 6,Account,6002,,,,,,,,,,,,,,,,,,,,alpineskihouse_ltd_6.com,,,Financial Services,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5104,Commercial Finance,Tier 1
70005,,,Alpine Ski House Ltd 9,Account,6002,,,,,,,,,,,,,,,,,,,,alpineskihouse_ltd_9.com,,,Financial Services,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5052,Commercial Finance,Tier 3
70006,,,Alpine Ski House LLC 3,Account,6002,,,,,,,,,,,,,,,,,,,,alpineskihouse_llc_3.com,,,Financial Services,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5080,Commercial Finance,Tier 1
70007,,,Alpine Ski House pte.Ltd 8,Account,6002,,,,,,,,,,,,,,,,,,,,alpineskihouse_pte.ltd_8.com,,,Financial Services,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5124,Commercial Finance,Tier 3
70008,,,Best For You Organics Company Ltd 5,Account,6004,,,,,,,,,,,,,,,,,,,,bestforyouorganics_ltd_5.com,,,Financial Services,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5164,Commercial Finance,Tier 3
70009,,,Best For You Organics Company pte.Ltd 1,Account,6004,,,,,,,,,,,,,,,,,,,,bestforyouorganics_pte.ltd_1.com,,,Financial Services,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5064,Commercial Finance,Tier 1
70010,,,Best For You Organics Company pte.Ltd 4,Account,6004,,,,,,,,,,,,,,,,,,,,bestforyouorganics_pte.ltd_4.com,,,Financial Services,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5136,Commercial Finance,Tier 3
70011,,,Best For You Organics Company pte.Ltd 5,Account,6004,,,,,,,,,,,,,,,,,,,,bestforyouorganics_pte.ltd_5.com,,,Financial Services,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5124,Commercial Finance,Tier 1
